Index,Name,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2
0,L1_SingleMuCosmics,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,L1_SingleMuCosmics_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,L1_SingleMuCosmics_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,L1_SingleMuCosmics_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,L1_SingleMuOpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,L1_SingleMuOpen_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,L1_SingleMuOpen_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,L1_SingleMuOpen_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,L1_SingleMu0_DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,L1_SingleMu0_BMTF,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
10,L1_SingleMu0_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,L1_SingleMu0_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,L1_SingleMu0_SQ13_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,L1_SingleMu0_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,L1_SingleMu0_SQ15_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,L1_SingleMu0_Upt10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,L1_SingleMu0_Upt10_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,L1_SingleMu0_Upt10_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,L1_SingleMu0_Upt10_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,L1_SingleMu3,0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
20,L1_SingleMu5,0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
21,L1_SingleMu7_DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,L1_SingleMu7,0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
24,L1_SingleMu5_BMTF,0,0,0,0,35,20,12,8,5,3,0,0,0,0
25,L1_SingleMu5_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,L1_SingleMu6_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,L1_SingleMu7_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,L1_SingleMu8_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,L1_SingleMu9_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,L1_SingleMu10_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,L1_SingleMu11_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,2.5,0
32,L1_SingleMu13_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34,L1_SingleMu12_DQ_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,L1_SingleMu12_DQ_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,L1_SingleMu12_DQ_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
